strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	clade_membership	sra_accessions	abbr_authors	authors	institution
Z34097	Z34097	Z34097.1						1500		1994-06-03	2016-07-26			Paranjpe et al	Paranjpe,S.G.	Paranjpe S. G., National Institute of Virology, Biochemistry, 20-A, Dr. Ambedkar Road, Pune, Maharashtra, India 411001
Z34096	Z34096	Z34096.1						1500		1994-06-03	2016-07-26			Paranjpe et al	Paranjpe,S.G.	Paranjpe S. G., National Institute of Virology, Biochemistry, 20-A, Dr. Ambedkar Road, Pune, Maharashtra, India 411001
Z34095	Z34095	Z34095.1						1500		1994-06-03	2016-07-26			Paranjpe et al	Paranjpe,S.G.	Paranjpe S. G., National Institute of Virology, Biochemistry, 20-A, Dr. Ambedkar Road, Pune, Maharashtra, India 411001
Z34094	Z34094	Z34094.1						1500		1994-06-03	2016-07-26			Paranjpe et al	Paranjpe,S.G.	Paranjpe S. G., National Institute of Virology, Biochemistry, 20-A, Dr. Ambedkar Road, Pune, Maharashtra, India 411001
Y16245	Y16245	Y16245.1						1857		1999-01-07	2016-07-26			Kuppumbatti et al	Kuppumbatti,Y.S.,Satchidanandam,V.	Y.S. Kuppumbatti, Indian Institute of Science, Department of microbiology and Cell, Biology, Bangalore 560 012
U92644	U92644	U92644.1						1500		1997-04-09	2016-07-26			Wu et al	Wu,S.C.,Lian,W.C.,Hsu,L.C.,Liau,M.Y.,Lian,W.	Biologics Production, National Institute of Preventive Medicine, 161 Ku-Yang Street, Taipei, Taiwan 105
U92643	U92643	U92643.1						1500		1997-04-09	2016-07-26			Wu et al	Wu,S.C.,Lian,W.C.,Hsu,L.C.,Liau,M.Y.,Lian,W.	Biologics Production, National Institute of Preventive Medicine, 161 Ku-Yang Street, Taipei, Taiwan 105
U70421	U70421	U70421.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70420	U70420	U70420.1						1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70419	U70419	U70419.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70418	U70418	U70418.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70417	U70417	U70417.1						1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70416	U70416	U70416.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70415	U70415	U70415.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70414	U70414	U70414.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70413	U70413	U70413.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70412	U70412	U70412.1						1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70411	U70411	U70411.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70410	U70410	U70410.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70409	U70409	U70409.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70408	U70408	U70408.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70407	U70407	U70407.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70406	U70406	U70406.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70405	U70405	U70405.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70404	U70404	U70404.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70403	U70403	U70403.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70402	U70402	U70402.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70401	U70401	U70401.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70400	U70400	U70400.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70399	U70399	U70399.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70398	U70398	U70398.1						1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70397	U70397	U70397.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70396	U70396	U70396.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70395	U70395	U70395.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70394	U70394	U70394.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70393	U70393	U70393.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70392	U70392	U70392.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70391	U70391	U70391.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70390	U70390	U70390.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70389	U70389	U70389.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70388	U70388	U70388.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U70387	U70387	U70387.1		Asia				1500		1997-01-14	1996-10-23			Chin et al	Chin,C.C.,Sung,S.C.,Shih,C.M.,Chang,G.J.	DVBID/NCID/CDC/US Department of Health and Human Services, Arbovirus Disease Branch, P.O. Box 2087, Fort Collins, CO 80522
U47032	U47032	U47032.1						10976		1996-08-10	1996-11-16	3		Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, University of Texas Medical Branch, Pathology, Galveston, TX 77555-0609
U44974	U44974	U44974.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44973	U44973	U44973.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44972	U44972	U44972.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44971	U44971	U44971.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44970	U44970	U44970.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44969	U44969	U44969.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44968	U44968	U44968.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44967	U44967	U44967.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44966	U44966	U44966.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44965	U44965	U44965.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44964	U44964	U44964.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44963	U44963	U44963.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44962	U44962	U44962.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44961	U44961	U44961.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44960	U44960	U44960.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44959	U44959	U44959.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44958	U44958	U44958.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U44957	U44957	U44957.1						1500	Aedes albopictus	1996-08-01	1996-01-26			Sung et al	Sung,S.	Shu-Chiun Sung, Division of Molecular Virology, National Defense Medical Center, Taipei, Taiwan
U34929	U34929	U34929.1						1500	Culex tritaeniorhynchus	1995-10-03	2016-07-26			Nam et al	Nam,J.H.,Chung,Y.J.,Ban,S.J.,Kim,E.J.,Park,Y.K.,Cho,H.W.,Nam,J.	Jae-Hwan Nam, Korean National Institute of Health, Department of Virology, 5 NokBun-Dong, Eunpyung-Ku, Seoul, 122-020
U34928	U34928	U34928.1						1500	Culex tritaeniorhynchus	1995-10-03	2016-07-26			Nam et al	Nam,J.,Cho,H.	Jae-Hwan Nam, Korean National Institute of Health, Department of Virology, 5 NokBun-Dong, Eunpyung-Ku, Seoul, 122-020
U34927	U34927	U34927.1						1500	Culex tritaeniorhynchus	1995-10-03	1996-09-20			Nam et al	Nam,J.,Cho,H.	Jae-Hwan Nam, Korean National Institute of Health, Department of Virology, 5 NokBun-Dong, Eunpyung-Ku, Seoul, 122-020
U34926	U34926	U34926.1						1500	Culex tritaeniorhynchus	1995-10-03	1996-10-29			Nam et al	Nam,J.,Cho,H.	Jae-Hwan Nam, Korean National Institute of Health, Department of Virology, 5 NokBun-Dong, Eunpyung-Ku, Seoul, 122-020
U32662	U32662	U32662.1						251	Culex	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32368	U32368	U32368.1						251	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32367	U32367	U32367.1						251	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32366	U32366	U32366.1						251	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32365	U32365	U32365.1						251	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32364	U32364	U32364.1						198	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32363	U32363	U32363.1						198	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32362	U32362	U32362.1						198	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32361	U32361	U32361.1						198	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U32360	U32360	U32360.1						198	Culex tritaeniorhynchus	1996-01-01	1996-10-25			Chung et al	Chung,Y.J.,Nam,J.H.,Ban,S.J.,Cho,H.W.,Chung,Y.-J.	Yeun-Jun Chung, Korean National Institute of Health, Department of Virology, 5 Nokbun Dong, Eunpyung Gu, Seoul 122-020
U21057	U21057	U21057.1						2436		1995-03-04	1996-05-16			Cao et al	Cao,J.X.,Ni,H.,Sil,B.K.,Compbell,G.A.,Ryman,K.D.,Kitchen,I.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch at Galveston, F-05, Galveston, TX 77555-0605
U21054	U21054	U21054.1						2435		1995-03-04	1996-05-16			Cao et al	Cao,J.X.,Ni,H.,Sil,B.K.,Campbell,G.A.,Ryman,K.D.,Kitchen,I.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch at Galveston, F-05, Galveston, TX 77555-0605
U15763	U15763	U15763.1						10969		1995-03-02	1995-03-30	3		Ni et al	Ni,H.,Chang,G.J.,Xie,H.,Trent,D.W.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, Galveston, TX 77555-0605
U14163	U14163	U14163.1						10976		1994-09-13	1900-01-01	3		Ni et al	Ni,H.,Burns,N.J.,Chang,G.J.,Zhang,M.J.,Wills,M.R.,Trent,D.W.,Sanders,P.G.,Barrett,A.D.,Xie,H.	Gwong-Jen Chang, Division of Vector-Borne Infectious Diseases, Molecular Biology Branch, National Center for Infectious Diseases, Centers for Disease Control and Prevention, Public Health Service, Ramport Drive, Fort Collins, CO 80522
U09482	U09482	U09482.1						339	Homo sapiens	1994-05-21	1900-01-01			Chow et al	Chow,V.T.,Seah,C.L.,Chan,Y.C.,Seah,C.L.K.	Catherine L. K. Seah, National University of Singapore, Microbiology, Lower Kent Ridge Road, Singapore, 0511
U04522	U04522	U04522.1						2477		1994-01-11	1995-05-24			Ni et al	Ni,H.,Burns,N.J.,Chang,G.J.,Zhang,M.J.,Wills,M.R.,Trent,D.W.,Sanders,P.G.,Barrett,A.D.	Chang G.J., Centers for Disease Control and Prevention, Div. of Vector-Borne Infectious Diseases, Mulberry and Overland Trail, Fort Collins, CO 80522
U04521	U04521	U04521.1						2477		1994-01-11	1995-05-24			Ni et al	Ni,H.,Burns,N.J.,Chang,G.J.,Zhang,M.J.,Wills,M.R.,Trent,D.W.,Sanders,P.G.,Barrett,A.D.	G.J. Chang, Centers for Disease Control and Prevention, Div. of Vector-Borne Infectious Diseases, Mulberry and Overland Trail, Fort Collins, CO 80522
U03696	U03696	U03696.1						2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, F-05, Galveston, TX 77555-0066
U03695	U03695	U03695.1						2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, F-5, Galveston, TX 77555-0066
U03694	U03694	U03694.1						2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, F-05, Galveston, TX 77555-0066
U03693	U03693	U03693.1						2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, F-05, Galveston, TX 77555-0066
U03692	U03692	U03692.1		Asia				2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of texas Medical Branch, F-05, Galveston, TX 77555-0066
U03691	U03691	U03691.1						2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, F-5, Galveston, TX 77555-0066
U03690	U03690	U03690.1						2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, F-5, Galveston, TX 77555-0066
U03689	U03689	U03689.1						2436		1994-07-31	1995-05-24			Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, F-05, Galveston, TX 77555-0066
U02367	U02367	U02367.1						2435		1994-04-30	1994-11-08			Ni et al	Ni,H.,Burns,N.J.,Chang,G.J.,Zhang,M.J.,Wills,M.R.,Trent,D.W.,Sanders,P.G.,Barrett,A.D.	Ni,H., University of Texas Medical Branch, Pathology, Galveston, Texas 77555-0605
S75726	S75726	S75726.1						2379		1995-07-27	2016-07-26			Hasegawa et al	Hasegawa,H.,Yoshida,M.,Fujita,S.,Kobayashi,Y.	
S47265	S47265	S47265.1						1500		1993-02-10	2016-07-24			Hasegawa et al	Hasegawa,H.,Yoshida,M.,Shiosaka,T.,Fujita,S.,Kobayashi,Y.	
